Month,LA1_Comdty_actual,LA1 Comdty_model_12m,LA1 Comdty_forecast_12m
1/1/2019,1901,1901.7776,
2/1/2019,1894.75,1893.995,
3/1/2019,1900.25,1906.3896,
4/1/2019,1773,1798.0258,
5/1/2019,1777.5,1790.9158,
6/1/2019,1782.25,1770.2028,
7/1/2019,1782.25,1871.799,
8/1/2019,1732.5,1731.3507,
9/1/2019,1707.5,1754.8096,
10/1/2019,1761.5,1783.501,
11/1/2019,1780,1784.8907,
12/1/2019,1789.25,1747.9778,
1/1/2020,1703.5,1729.9624,
2/1/2020,1685.5,1691.9618,
3/1/2020,1501.5,1530.534,
4/1/2020,1466.75,1491.7201,
5/1/2020,1535,1578.9072,
6/1/2020,1593.75,1612.3785,
7/1/2020,1683.5,1711.5181,
8/1/2020,1771.5,1782.7139,
9/1/2020,1739.75,1764.5243,
10/1/2020,1853.5,1873.097,
11/1/2020,2042.25,1990.341,
12/1/2020,1979,1982.2046,
1/1/2021,1972.88,1985.5591,
2/1/2021,2131.75,2137.6316,
3/1/2021,2194.25,2229.5872,
4/1/2021,2390.5,2380.8196,
5/1/2021,2466.76,2463.1873,
6/1/2021,2519.5,2500.9485,
7/1/2021,2603,2627.152,
8/1/2021,2713,2708.4622,
9/1/2021,2849.75,2836.9602,
10/1/2021,2712.25,2691.5635,
11/1/2021,2640.5,2636.091,
12/1/2021,2803,2816.7178,
1/1/2022,3047,3079.3462,
2/1/2022,3374,3317.8052,
3/1/2022,3483.61,3371.0308,
4/1/2022,3035.5,3028.9192,
5/1/2022,2763.75,2769.0305,
6/1/2022,2432.5,2408.951,
7/1/2022,2501.24,2527.0986,
8/1/2022,2364.75,2356.9783,
9/1/2022,2164.25,2146.656,
10/1/2022,2220,2253.5894,
11/1/2022,2455,2415.2961,
12/1/2022,2349.51,2356.099,
1/1/2023,2618.25,2550.391,
2/1/2023,2337.13,2390.2358,
3/1/2023,2382.75,2390.5835,
4/1/2023,2372,2329.7786,
5/1/2023,2242.5,2272.2114,
6/1/2023,2121,2162.6384,
7/1/2023,2256.51,2231.8188,
8/1/2023,2173.75,2216.0564,
9/1/2023,2339,2324.053,
10/1/2023,2248.65,2229.482,
11/1/2023,2166.01,2208.2922,
12/1/2023,2351.5,2314.598,
1/1/2024,2252.35,2275.3852,
2/1/2024,2197.22,2252.224,
3/1/2024,2306.92,2291.5644,
4/1/2024,2565.69,2478.6313,
5/1/2024,2621.14,2565.9055,
6/1/2024,2490.52,2518.8862,
7/1/2024,2242.01,2349.5476,
8/1/2024,2433.9,2465.4458,
9/1/2024,2619.75,2561.445,
10/1/2024,2601.18,2558.9873,
11/1/2024,2585.99,2543.3957,
12/1/2024,2536.48,2524.3418,
1/1/2025,2602.77,2581.4949,
2/1/2025,2620.84,2598.3914,
3/1/2025,2516.15,2532.954,
4/1/2025,2387.19,2439.7952,
5/1/2025,,,2516.9473
6/1/2025,,,2534.436
7/1/2025,,,2526.6296
8/1/2025,,,2462.5981
9/1/2025,,,2483.4858
10/1/2025,,,2460.8874
11/1/2025,,,2497.5398
12/1/2025,,,2508.8372
1/1/2026,,,2434.0378
2/1/2026,,,2377.805
3/1/2026,,,2352.6228
4/1/2026,,,2425.2456
